chemical_formula	HMDB_ID	KEGG_compound_ID	mass	ion.type	m.z	Number_profiles_processed	Percent_found	mz_min	mz_max	RT_mean	RT_sd	RT_min	RT_max	int_mean(log)	int_sd(log)	int_min(log)	int_max(log)
C9H8O3	HMDB0002035	C00811	164.04735	M-H	163.0401	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA
C9H8O4	HMDB0001964	C01481	180.0423	M-H	181.0495	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	NA	NA
C9H10O2	HMDB0002097	C00156	150.0681	M-H	149.0608	NA	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA
C9H10O2	HMDB0000764	C05629	150.0681	M-H	149.0608	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA
C9H10O2	HMDB0011743	-	150.0681	M-H	149.0608	NA	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA
C9H10O4	HMDB0000755	C03672	182.05791	M-H	181.0506	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA
C9H10O4	HMDB0000118	C05582	182.05791	M-H	181.0506	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA
C9H10O4	HMDB0000423	C10447	182.0579	M-H	181.0506	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA
C9H10O4	-	-	182.0579	M-H	181.0506	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA
C9H10O3	-	-	166.063	M-H	165.0558	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA
C9H10O5	HMDB0000291	C05584	198.0528	M-H	197.0456	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C7H12O6	HMDB0003072	C06746	192.06339	M-H	191.0561	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA
C10H10O4	HMDB0000954	C01494	194.0579	M-H	195.0652	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C7H5NO4	HMDB0000232	C03722	167.0219	M-H	166.0146	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA
C3H5O6P	HMDB0000263	C00074	167.9824	M-H	166.9751	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA
C3H7O7P	HMDB0000362	-	185.9929	M-H	184.9856	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C3H7O7P	HMDB0000807	C00597	185.9929	M-H	184.9856	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C3H7O7P	-	-	185.9929	M-H	184.9856	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C6H12O7	HMDB0000625	C00257	196.0583	M-H	195.051	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
C6H10O8	HMDB0000663	C00818	210.037567	M-H	209.0303	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
C6H10O8	HMDB0000639	C00879	210.03757	M-H	209.0303	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	NA	NA
C6H10O8	-	-	210.03757	M-H	209.0303	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
C18H16O8	HMDB0003572	C10489	360.08452	M-H	359.0772	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA
C5H5NO2	HMDB0004230	C05942	111.0320284	M-H	110.0247	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
C3H4O3S	HMDB0001368	C00957	119.9881	M-H	118.9808	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
C4H10O4	HMDB0002994	C00503	122.05791	M+Cl	157.0273	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA
C4H10O4	HMDB0004136	C16884	122.05791	M+Cl	157.0273	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA
