chemical_formula	HMDB_ID	KEGG_compound_ID	mass	ion.type	m.z	Number_profiles_processed	Percent_found	mz_min	mz_max	RT_mean	RT_sd	RT_min	RT_max	int_mean(log)	int_sd(log)	int_min(log)	int_max(log)
C5H4N4O2	HMDB00292	C00385	152.03343	M+H	153.0407	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA
C8H8O3	HMDB29659	C03663	152.04735	M+H	153.0546	NA	NA	NA	NA	29.4	NA	NA	NA	NA	NA	NA	NA
C8H8O3		C12064	152.04735	M+H	153.0546	NA	NA	NA	NA	28.7	NA	NA	NA	NA	NA	NA	NA
C5H12O5	HMDB01851	CA1387	152.06848	M+H	175.0577	NA	NA	NA	NA	53.2	NA	NA	NA	NA	NA	NA	NA
C3H7NO4S	HMDB00996	C00606	153.00958	M+H	154.0169	NA	NA	NA	NA	119.6	NA	NA	NA	NA	NA	NA	NA
C7H7NO3	HMDB01476	C00632	153.04259	M+H	154.0504	NA	NA	NA	NA	30.5	NA	NA	NA	NA	NA	NA	NA
C7H7NO3		C12115	153.04259	M+H	154.0504	NA	NA	NA	NA	32.4	NA	NA	NA	NA	NA	NA	NA
C7H7NO3		C12107	153.0426	M+H	154.0504	NA	NA	NA	NA	33	NA	NA	NA	NA	NA	NA	NA
C8H11NO2	HMDB04825	C04227	153.07897	M+H	154.0863	NA	NA	NA	NA	33	NA	NA	NA	NA	NA	NA	NA
C8H11NO2	HMDB00073	C03758	153.078979	M+H	154.0863	NA	NA	NA	NA	38	NA	NA	NA	NA	NA	NA	NA
C6H9N3O2	HMDB00177	C00135	155.06948	M+H	156.0768	NA	NA	NA	NA	98.3	NA	NA	NA	NA	NA	NA	NA
C5H4N2O4		C03030	156.01711	M+H	157.0244	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA
C5H6N2O4	HMDB00528	C00337	158.03276	M+H	159.04056	NA	NA	NA	NA	144	NA	NA	NA	NA	NA	NA	NA
C4H6N4O3	HMDB00462	C01551	158.04399	M+H	159.0513	NA	NA	NA	NA	46.8	NA	NA	NA	NA	NA	NA	NA
C10H9NO	HMDB01190	C00637	159.06841	M+H	160.0757	NA	NA	NA	NA	31.9	NA	NA	NA	NA	NA	NA	NA
C10H12N2	HMDB00303	C00398	160.10005	M+H	161.1074	NA	NA	NA	NA	29	NA	NA	NA	NA	NA	NA	NA
C6H11NO4	HMDB00510	C00956	161.06881	M+H	162.0761	NA	NA	NA	NA	74.4	NA	NA	NA	NA	NA	NA	NA
C10H11NO	HMDB03447	C00955	161.08406	M+H	162.0914	NA	NA	NA	NA	29.6	NA	NA	NA	NA	NA	NA	NA
C7H15NO3	HMDB00062	C00318	161.105194	M+H	162.1125	NA	NA	NA	NA	73.1	NA	NA	NA	NA	NA	NA	NA
C6H14N2O3	HMDB00450	C01211	162.10044	M+H	163.1077	NA	NA	NA	NA	145	NA	NA	NA	NA	NA	NA	NA
C10H14N2	HMDB14330	C16150	162.1157	M+H	163.123	NA	NA	NA	NA	36.7	NA	NA	NA	NA	NA	NA	NA
C5H9NO3S	HMDB01890	C06809	163.0303	M+H	164.0376	NA	NA	NA	NA	43.4	NA	NA	NA	NA	NA	NA	NA
C6H5N5O	HMDB00802	C00715	163.04941	M+H	164.0567	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA
C6H4N4O2		C03212	164.03343	M+H	165.0407	NA	NA	NA	NA	39	NA	NA	NA	NA	NA	NA	NA
C9H8O3	HMDB02035	C00811	164.04735	M+H	165.0546	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C9H8O3	HMDB00205	C00166	164.04735	M+H	165.0546	NA	NA	NA	NA	59.2	NA	NA	NA	NA	NA	NA	NA
C9H11NO2	HMDB00159	C00079	165.07898	M+H	166.0863	NA	NA	NA	NA	48	NA	NA	NA	NA	NA	NA	NA
C6H6N4S	HMDB60412	C03542	166.03132	M+H	167.0386	NA	NA	NA	NA	33	NA	NA	NA	NA	NA	NA	NA
C9H10O3	HMDB33752	C01198	166.063	M+H	167.0703	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C7H5NO4	HMDB00232	C03722	167.02186	M+H	168.0291	NA	NA	NA	NA	48	NA	NA	NA	NA	NA	NA	NA
C8H9NO3		CA1445	167.05824	M+H	168.0655	NA	NA	NA	NA	60	NA	NA	NA	NA	NA	NA	NA
C8H9NO3	HMDB01545	C00250	167.05824	M+H	168.0655	NA	NA	NA	NA	38.5	NA	NA	NA	NA	NA	NA	NA
C9H13NO2	HMDB00022	C05587	167.094635	M+H	168.1018	NA	NA	NA	NA	30.4	NA	NA	NA	NA	NA	NA	NA
C5H4N4O3	HMDB00289	C00366	168.02834	M+H	169.0356	NA	NA	NA	NA	60.5	NA	NA	NA	NA	NA	NA	NA
C8H12N2O2	HMDB01431	C00534	168.08988	M+H	169.0972	NA	NA	NA	NA	78	NA	NA	NA	NA	NA	NA	NA
C8H11NO3	HMDB00239	C00314	169.07389	M+H	170.0812	NA	NA	NA	NA	51.7	NA	NA	NA	NA	NA	NA	NA
C7H11N3O2	HMDB00001	C01152	169.08513	M+H	170.0924	NA	NA	NA	NA	91.5	NA	NA	NA	NA	NA	NA	NA
C3H9O6P	HMDB02520	C02979	172.01367	M+H	173.021	NA	NA	NA	NA	108.1	NA	NA	NA	NA	NA	NA	NA
C7H8O5		C02637	172.03717	M+H	217.0087	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	NA
C6H7NO3S		C00292	173.01467	M+H	174.0219	NA	NA	NA	NA	44.7	NA	NA	NA	NA	NA	NA	NA
C10H7NO2	HMDB00842	C06325	173.04768	M+H	174.055	NA	NA	NA	NA	31.3	NA	NA	NA	NA	NA	NA	NA
C10H7NO2		C06414	173.04768	M+H	174.055	NA	NA	NA	NA	37.9	NA	NA	NA	NA	NA	NA	NA
C8H15NO3	HMDB11756	C02710	173.10519	M+H	174.1125	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	NA	NA
C6H10N2O4	HMDB06028	CA1214	174.06406	M+H	175.07186	NA	NA	NA	NA	43.7	NA	NA	NA	NA	NA	NA	NA
C10H10N2O	HMDB29739	C02693	174.07931	M+H	175.0866	NA	NA	NA	NA	30.6	NA	NA	NA	NA	NA	NA	NA
C8H14O4	HMDB00893	C08278	174.08921	M+H	175.0965	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C6H14N4O2	HMDB00517	C00062	174.111679	M+H	175.119	NA	NA	NA	NA	118	NA	NA	NA	NA	NA	NA	NA
C11H13N2	HMDB04370	C06213	174.1157	M+H	175.123	NA	NA	NA	NA	29.3	NA	NA	NA	NA	NA	NA	NA
C6H9NO5	HMDB00812	CA1200	175.04807	M+H	176.0554	NA	NA	NA	NA	42.6	NA	NA	NA	NA	NA	NA	NA
C5H9N3O4	HMDB03157	C03139	175.05931	M+H	176.0666	NA	NA	NA	NA	74	NA	NA	NA	NA	NA	NA	NA
C10H9NO2	HMDB00197	C00954	175.06333	M+H	176.07113	NA	NA	NA	NA	29.3	NA	NA	NA	NA	NA	NA	NA
C6H13N3O3	HMDB00904	C00327	175.09569	M+H	176.103	NA	NA	NA	NA	91.2	NA	NA	NA	NA	NA	NA	NA
C10H12N2O	HMDB00259	C00780	176.09496	M+H	177.1022	NA	NA	NA	NA	30.6	NA	NA	NA	NA	NA	NA	NA
C6H11NO3S	HMDB01015	C03145	177.04597	M+H	178.0532	NA	NA	NA	NA	33.6	NA	NA	NA	NA	NA	NA	NA
C5H9NO4S	HMDB29415	C03727	179.02523	M+H	180.0325	NA	NA	NA	NA	81.3	NA	NA	NA	NA	NA	NA	NA
C9H9NO3	HMDB00714	C01586	179.05824	M+H	180.0655	NA	NA	NA	NA	30.6	NA	NA	NA	NA	NA	NA	NA
C6H13NO5	HMDB01514	C00329	179.079376	M+H	180.0867	NA	NA	NA	NA	88.6	NA	NA	NA	NA	NA	NA	NA
C6H13NO5		C02262	179.079376	M+H	180.087176	NA	NA	NA	NA	86.4	NA	NA	NA	NA	NA	NA	NA
C6H13NO5		C03570	179.079376	M+H	180.0877	NA	NA	NA	NA	76.8	NA	NA	NA	NA	NA	NA	NA
C10H13NO2	HMDB05199	C09642	179.094635	M+H	180.1019	NA	NA	NA	NA	32.1	NA	NA	NA	NA	NA	NA	NA
C9H8O4	HMDB01964	C01481	180.04226	M+H	181.0495	NA	NA	NA	NA	30.5	NA	NA	NA	NA	NA	NA	NA
C5H12N2O3S	HMDB29430	C03510	180.05687	M+H	181.06467	NA	NA	NA	NA	90.7	NA	NA	NA	NA	NA	NA	NA
C6H12O6	HMDB03418	C00795	180.06339	M+H	181.0707	NA	NA	NA	NA	60.1	NA	NA	NA	NA	NA	NA	NA
C6H12O6	HMDB00143	C01582	180.06339	M+H	203.0526	NA	NA	NA	NA	60.1	NA	NA	NA	NA	NA	NA	NA
C6H12O6	HMDB03345	C00293	180.06339	M+H	203.0526	NA	NA	NA	NA	60.1	NA	NA	NA	NA	NA	NA	NA
C6H12O6		C06468	180.06339	M+H	203.0526	NA	NA	NA	NA	50.1	NA	NA	NA	NA	NA	NA	NA
C6H12O6	HMDB01151	C01487	180.06339	M+H	219.0265	NA	NA	NA	NA	60.1	NA	NA	NA	NA	NA	NA	NA
C6H12O6	HMDB00247	C00749	180.06339	M+H	219.0265	NA	NA	NA	NA	60.1	NA	NA	NA	NA	NA	NA	NA
C7H8N4O2	HMDB01889	C07130	180.06473	M+H	181.072	NA	NA	NA	NA	35.2	NA	NA	NA	NA	NA	NA	NA
C7H8N4O2	HMDB01860	C13747	180.06473	M+H	181.072	NA	NA	NA	NA	35.8	NA	NA	NA	NA	NA	NA	NA
C7H8N4O2	HMDB02825	C07480	180.06473	M+H	181.072	NA	NA	NA	NA	36.1	NA	NA	NA	NA	NA	NA	NA
C9H11NO3	HMDB00158	C00082	181.07389	M+H	182.0812	NA	NA	NA	NA	48.9	NA	NA	NA	NA	NA	NA	NA
C9H10O4	HMDB00484	C06672	182.05791	M+H	183.0652	NA	NA	NA	NA	29.5	NA	NA	NA	NA	NA	NA	NA
C6H14O6	HMDB00107	C01697	182.07904	M+H	205.0683	NA	NA	NA	NA	60.2	NA	NA	NA	NA	NA	NA	NA
C6H14O6	HMDB00765	C00392	182.07904	M+H	205.0683	NA	NA	NA	NA	59.7	NA	NA	NA	NA	NA	NA	NA
C8H9NO4	HMDB00017	C00847	183.05316	M+H	184.06096	NA	NA	NA	NA	40.3	NA	NA	NA	NA	NA	NA	NA
C5H14NO4P	HMDB01565	C00588	183.066	M+H	184.073276	NA	NA	NA	NA	160	NA	NA	NA	NA	NA	NA	NA
C9H13NO3	HMDB00819	CA1379	183.089539	M+H	184.0968	NA	NA	NA	NA	32.1	NA	NA	NA	NA	NA	NA	NA
